,location,longitude,latitude
91,Evelina Antonetty Playground,-73.92831642875284,40.817539280923356
92,Ewen Park,-73.9100205698652,40.882191203758914
93,Fairmount Playground,-73.88958619837958,40.84277947525183
94,Featherbed Triangle,-73.92087843395825,40.84642323881232
95,Featherbenches,-73.91451732519606,40.84542740089216
96,Field Of Dreams Court,-73.89227151497231,40.82658401353897
97,First Park,-73.98963948015347,40.72351779101827
98,First Street Garden,-73.98960270673743,40.724012912803055
99,Flood Triangle,-73.89089453749337,40.858354017451674
100,Flynn Playground,-73.91193278891544,40.82104461473541
101,Fort Tryon Park,-73.93220398778325,40.862359584170015
102,Fort Washington Park,-73.9425609123536,40.851350242464555
103,Fountain Of Youth Playground,-73.90525561967743,40.81399150713516
104,Fox Playground,-73.89850306820242,40.81491001875944
105,Franklin D. Roosevelt Boardwalk and Beach,-74.07409227852753,40.57890140606248
106,Franz Sigel Park,-73.92560322631954,40.82331678699295
107,Freeman Triangle,-73.8879177237487,40.82932031507181
108,Fufidio Triangle,,
109,"Fulton Ave & Claremont Pkwy, SE",,
110,Galileo Playground,-73.915688791833,40.84860443669435
111,Garden Of Happiness,-73.88498490093336,40.84853688054866
112,Gateway Park,-73.81231855664294,40.69703041691162
113,Gouverneur Morris Triangle,-73.91275469471005,40.804666842796244
114,Gouverneur Playground,-73.90343278741263,40.835721263598074
115,Graham Triangle,-73.92749907249467,40.81068379178503
116,Grand Concourse & E 170th St (1),,
117,Grant Park,-73.91293334031143,40.83684353441094
118,Greenbelt Native Plant Center,-74.18155504199783,40.596076108456955
119,Grove Hill Playground,-73.90884219933847,40.819871810219134
120,Gun Hill Playground,-73.86550819292059,40.87469548421338
121,Gustave Hartman Square,-73.98081040734932,40.720769722652506
122,Gutenberg Playground,-73.99016533010922,40.76346433729656
123,HUB Pedestrian Refuge,,
124,Half-Nelson Playground,-73.91929813823168,40.8467882346234
125,Hamilton Fish Park,-73.98076555360943,40.71970263764058
126,Harlem Art Park,-73.93879869123157,40.80103639100322
127,Harlem River Park,-73.93190552768584,40.82792532878896
128,Harris Park,-73.89188172106765,40.87628095008671
129,Harvey Park,-73.82343359832429,40.78345587379858
130,Heath Triangle,-73.9075720316156,40.868762028792204
131,Hell's Kitchen Park,-73.99258337165075,40.762968178155276
132,Highbridge Park,-73.93046413518206,40.84649764077546
133,Hilton White Playground,-73.90734941843083,40.82286296101819
134,Hines Park,-73.90565538429607,40.828602046473684
135,Horseshoe Playground,-73.89769156973236,40.82412121928857
136,Howard Von Dohlen Playground,-73.81297834351123,40.6994401849189
137,Hoyt Playground,-73.91721350106017,40.771581920466176
138,Hunts Point Playground,-73.88597051975711,40.81413655973765
139,Hunts Point Riverside Park,-73.8816008155548,40.8176824444019
140,I-Am-Park,-73.9101995192579,40.81129359513982
141,Inwood Hill Park,-73.92544141131351,40.87257356384416
142,Inwood Park,-73.91533819779889,40.844790395612605
143,Isham Park,-73.91968464133939,40.8706579571148
144,J. Hood Wright Park,-73.94125433985072,40.8465340055667
145,James Madison Plaza,-74.00046514460334,40.711471884970216
146,James Weldon Johnson Playground,-73.94185672318095,40.79717835559237
147,John V. Lindsay East River Park,-73.97532680713718,40.716987894531314
148,Joseph Rodman Drake Park & Enslaved African Burial Ground,-73.88253043593932,40.81026272606568
149,Julio Carballo Fields,-73.88926278278404,40.815597912099236
150,Keltch Park,-73.91779647069004,40.8405019478338
151,Kimlau Square,-73.99804353412965,40.71340952842076
152,La Finca del Sur Community Garden,-73.93018246878441,40.812672246921615
153,"Lafayette Ave, Edgewater Rd, & Drake St S",,
154,Little Flower Playground,-73.9882368549342,40.71243715315297
155,Longfellow Bet. Hunts Point And Randall,,
156,Longfellow Playground,-73.88755686767401,40.82559506802535
157,Lower East Side Playground,-73.9830210321828,40.72938420158867
158,Lozada Playground,-73.92495821258588,40.80795242433218
159,Lt. Lia Playground,-74.07984294011656,40.64356867232539
160,Luther Gulick Park,-73.98185707249387,40.71588426826601
161,Lyons Square Playground,-73.88807089839992,40.82277492760863
162,Mabel Hampton Playground,-73.90400313832075,40.85456580357051
163,Macombs Dam Park,-73.92817867138886,40.82876460831912
164,Major General John R Brown Triangle,-73.90413076274264,40.86963345415845
165,Marcus Garvey Park,-73.94366947479014,40.80448551597634
166,Mariners Marsh Park,-74.17495217555737,40.637160680119734
167,Martin Luther King Triangle,-73.90305706292642,40.810980223384405
168,"Martin Luther King, Jr. Playground",-73.95038949635448,40.80020822520671
169,Mathews-Palmer Playground,-73.99273557454218,40.76139591526423
170,Mazzei Playground,-73.85846847964105,40.862541256155595
171,McKinley Square,-73.90070186619373,40.83111556826387
172,McNally Plaza,,
173,Melrose Playground,-73.91842470405906,40.820474578908886
174,Michel Triangle,-73.9060262213166,40.83889655210281
175,Mill Pond Park,-73.93172430647057,40.82281743322852
176,Millbrook Playground,-73.91664783852073,40.80435409176508
177,Monsignor Raul Del Valle Square,-73.89074517809351,40.82073477626149
178,Moore Playground,-73.9384926871028,40.80937702153641
179,Morgan Playground,-73.90743530514261,40.83227429565773
180,Morris Mesa,-73.909915280124,40.845309223939815
181,Mosholu Parkway,-73.88314286962479,40.87629657999233
182,Mount Eden Malls,-73.90997503312774,40.84295582461734
183,Mount Hope Garden,-73.90535931314751,40.852558310004426
184,Mullaly Park,-73.92420722008596,40.83277446837234
185,Muller Triangle,-73.89812894723738,40.862505001667934
186,Murphy Triangle,-73.89334909689539,40.85116416100203
187,Nelson Playground,-73.92684228963834,40.83479884098214
188,O'Brien Oval,-73.90131087734272,40.84787926412723
189,O'Neill Triangle,-73.9113494596366,40.82365615016027
190,P.S. 155 Playground,-73.93544251179812,40.79731679498751
191,Park,-73.90282326433093,40.83155919626929
192,Parkside Playground,-73.86802899006376,40.868383753166505
193,Patterson Playground,-73.92228540808416,40.81578291203226
194,Peace Park,-73.90517148732478,40.84518420626602
195,Pearl St Playground,-74.00392587102313,40.70791841750015
196,Pelham Bay Park,-73.80418800382554,40.868109147135925
197,Pelham Parkway,-73.85281541489111,40.85753205659451
198,People's Park,-73.91700526693432,40.809485653203204
199,Peretz Square,-73.98803522130217,40.72296751269293
200,Peter Minuit Playground,-73.94723147240772,40.7947707458454
201,Playground 52 LII,-73.9016877275872,40.81515880573533
202,Playground One,-73.99739983055548,40.71226804590559
203,Playground One Thirty Four CXXXIV,-73.9175579933163,40.80319279574734
204,Plimpton Playground,-73.92241783795336,40.8439253315449
205,Poe Park,-73.89461163505263,40.86480316287436
206,Pontiac Playground,-73.90823105581644,40.81425170868223
207,Printers Park,-73.89082405969653,40.82392917927058
208,Prospect Playground,-73.8907140740214,40.84326742893643
209,Pulaski Park,-73.92456568955679,40.805242311628454
210,Quarry Ballfields,-73.89085945452392,40.850865160968745
211,Railroad Park,-73.91537714681898,40.8251303929088
212,Ramon Aponte Park,-73.98935059930903,40.76144787375693
213,Rev J Polite Playground,-73.89703082343576,40.82708228352684
214,Richman (Echo) Park,-73.90156490994079,40.84928580621471
215,Richmond Parkway,-74.1502234356955,40.57064218704405
216,Risse Street Park,-73.88528622372156,40.878565042550825
217,Riverbend Playground,-73.90577955465,40.87206624935491
218,Rock Garden Park,-73.88511447004817,40.83528197290769
219,Rockaway Beach Boardwalk,-73.81464310249085,40.58115909071006
220,Rose Hill Park,-73.89041688501476,40.86203011404975
221,Roy Wilkins Recreation Center,-73.77194733418862,40.687700644137095
222,Ryan Triangle,-73.92435040397844,40.8153697706079
223,Sara D. Roosevelt Park,-73.99261417079765,40.7196317866419
224,Saw Mill Playground,-73.91937329445453,40.80891310530629
225,Schiff Mall,-73.9911113219613,40.71943023223854
226,Schmul Park,-74.18633492754807,40.5889456065071
227,Seabury Playground,-73.88787060479834,40.836488244376845
228,Seaview And Richmond,,
229,Sedgwick Playground,-73.92338813643373,40.845701618206846
230,Septuagesimo UNO,-73.98434648998574,40.77861855209911
231,Sergeant Johnson Triangle,-73.88127740013672,40.85793422366787
232,Seward Park,-73.98922815891095,40.7147901268322
233,Slattery Playground,-73.89848043459956,40.85730590130655
234,Sophie Irene Loeb,-73.99430376840743,40.71328989266209
235,Soundview Park,-73.86623272278908,40.81157999138989
236,Southern Bet. 149th Street And Prospect,,
237,Spofford And Coster,,
238,St. James Park,-73.89779073000895,40.865160117886674
239,St. James Triangle,-73.9985397733413,40.71270227349796
240,St. Mary's Park,-73.9122189654009,40.8114699390607
241,Stapleton Esplanade,-74.07307540370944,40.627847653497234
242,Starlight Park,-73.88249740616047,40.832633737711454
243,Stebbins Playground,-73.89851728759038,40.822767331280225
244,Stop & Go Playground,-73.89882166199459,40.84501361481155
245,Tanahey Playground,-73.99518030440098,40.7101602435534
246,Tappen Park,-74.07687567003414,40.62681067275752
247,The Queen Elizabeth II September 11th Garden,-74.00933844527434,40.70474739346185
248,Thomas Jefferson Park,-73.935590050373,40.79320242381905
249,Thorpe Family Playground,-73.89487681417778,40.85622320515273
250,Tiffany Playground,-73.89437491146529,40.82484000079609
251,Tompkins Square Park,-73.98171294109305,40.72645206134827
252,Tompkinsville Park,-74.07639193256502,40.637438200713994
253,Townsend Walk,-73.91298078850546,40.84596225389053
254,Tremont Bet. Valentine And Webster,,
255,Triboro Plaza,-73.93252038365104,40.80230297934199
256,Twenty-Four Sycamores Park,-73.95866697202048,40.75945639644337
257,Union Square Park,-73.99041159893693,40.735834322357434
258,University Woods,-73.91498304846088,40.859189171872714
259,Van Cortlandt Park,-73.8866648239385,40.897109877033
260,Veterans Park,-74.13176866600989,40.637197235033554
261,Vidalia Park,-73.88143061087612,40.84386494367643
262,Vleigh Playground,-73.81650537717854,40.72982188568444
263,Wakefield Playground,-73.8545048646426,40.901910174778294
264,Walter Gladwin Park,-73.89524472381602,40.845271625950524
265,Walton Park,-73.90517851473966,40.85525917642569
266,Walton Slope,-73.91164661565097,40.84513573857612
267,Walton Walk,-73.91225831065529,40.84547266375108
268,Washington Market Park,-74.0115533249469,40.71709074131047
269,Washington Park,-73.8936132881028,40.855759185082896
270,Washington Square Park,-73.9976029451662,40.730891093292854
271,Washington's Walk,-73.89962318714028,40.87364117595537
272,Webster Bet. 178th Street And Tremont,,
273,Webster Playground,-73.89289227502434,40.85938385976335
274,West Farms Rapids,-73.87779397579068,40.84115349614757
275,Williamsbridge Oval,-73.87738571642649,40.87762743955598
276,Williamsbridge Square,-73.86647123270173,40.8775049160618
277,Willis Playground,-73.92296422112136,40.81094112904231
278,Wishing Well Garden,,
279,Yolanda García Park,-73.91380830139495,40.8231039195952
280,Young Park,-73.87087520567647,40.8398439937843
