,location,longitude,latitude
237,Spofford And Coster,,
238,St. James Park,-73.89779073,40.86516012
239,St. James Triangle,-73.99853977,40.71270227
240,St. Mary's Park,-73.91221897,40.81146994
241,Stapleton Esplanade,-74.0730754,40.62784765
242,Starlight Park,-73.88249741,40.83263374
243,Stebbins Playground,-73.89851729,40.82276733
244,Stop & Go Playground,-73.89882166,40.84501361
245,Tanahey Playground,-73.9951803,40.71016024
246,Tappen Park,-74.07687567,40.62681067
247,The Queen Elizabeth II September 11th Garden,-74.00933845,40.70474739
248,Thomas Jefferson Park,-73.93559005,40.79320242
249,Thorpe Family Playground,-73.89487681,40.85622321
250,Tiffany Playground,-73.89437491,40.82484
251,Tompkins Square Park,-73.98171294,40.72645206
252,Tompkinsville Park,-74.07639193,40.6374382
253,Townsend Walk,-73.91298079,40.84596225
254,Tremont Bet. Valentine And Webster,,
255,Triboro Plaza,-73.93252038,40.80230298
256,Twenty-Four Sycamores Park,-73.95866697,40.7594564
257,Union Square Park,-73.9904116,40.73583432
258,University Woods,-73.91498305,40.85918917
259,Van Cortlandt Park,-73.88666482,40.89710988
260,Veterans Park,-74.13176867,40.63719724
261,Vidalia Park,-73.88143061,40.84386494
262,Vleigh Playground,-73.81650538,40.72982189
263,Wakefield Playground,-73.85450486,40.90191017
264,Walter Gladwin Park,-73.89524472,40.84527163
265,Walton Park,-73.90517851,40.85525918
266,Walton Slope,-73.91164662,40.84513574
267,Walton Walk,-73.91225831,40.84547266
268,Washington Market Park,-74.01155332,40.71709074
269,Washington Park,-73.89361329,40.85575919
270,Washington Square Park,-73.99760295,40.73089109
271,Washington's Walk,-73.89962319,40.87364118
272,Webster Bet. 178th Street And Tremont,,
273,Webster Playground,-73.89289228,40.85938386
274,West Farms Rapids,-73.87779398,40.8411535
275,Williamsbridge Oval,-73.87738572,40.87762744
276,Williamsbridge Square,-73.86647123,40.87750492
277,Willis Playground,-73.92296422,40.81094113
278,Wishing Well Garden,-73.89863304,40.81953438
279,Yolanda García Park,-73.9138083,40.82310392
280,Young Park,-73.87087521,40.83984399
